filename,m1_muB,m2_muB,m_total_muB,condition_met
POSCAR_Cl6Nb2_1_st975,1.637,-1.637,0.0,True
POSCAR_Cl6Pd2_1,0.478,-0.478,-0.0,True
POSCAR_Cl6Pd2_1_st025,0.523,-0.523,-0.0,True
POSCAR_Cl6Pd2_1_st050,0.572,-0.573,-0.0,True
POSCAR_Cl6Pd2_1_st950,0.389,-0.389,-0.0,True
POSCAR_Cl6Pd2_1_st975,0.434,-0.434,-0.0,True
POSCAR_Cl6Pd2_2,0.43,-0.43,0.0,True
POSCAR_Cl6Pd2_2_st025,0.482,-0.482,0.0,True
POSCAR_Cl6Pd2_2_st050,0.544,-0.544,0.0,True
POSCAR_Cl6Pd2_2_st950,0.327,-0.329,-0.004,True
POSCAR_Cl6Pd2_2_st975,0.381,-0.381,-0.0,True
POSCAR_Cl6Ti2_1,0.903,-0.903,-0.0,True
POSCAR_Cl6Ti2_1_st025,0.92,-0.92,-0.0,True
POSCAR_Cl6Ti2_1_st050,0.935,-0.935,-0.0,True
POSCAR_Cl6Ti2_1_st950,0.86,-0.86,0.0,True
POSCAR_Cl6Ti2_1_st975,0.883,-0.883,0.0,True
POSCAR_Cl6Ti2_1_x025,0.908,-0.908,-0.001,True
POSCAR_Cl6Ti2_1_x050,0.914,-0.913,-0.001,True
POSCAR_Cl6Ti2_1_x950,0.889,-0.89,0.001,True
POSCAR_Cl6Ti2_1_x975,0.896,-0.897,0.001,True
POSCAR_Cl6Ti2_1_y025,0.908,-0.908,0.001,True
POSCAR_Cl6Ti2_1_y050,0.913,-0.914,0.001,True
POSCAR_Cl6Ti2_1_y950,0.89,-0.889,-0.001,True
POSCAR_Cl6Ti2_1_y975,0.897,-0.896,-0.001,True
POSCAR_Cl6Ti2_1_z025,0.909,-0.909,-0.0,True
POSCAR_Cl6Ti2_1_z050,0.915,-0.915,-0.0,True
POSCAR_Cl6Ti2_1_z950,0.889,-0.889,0.0,True
POSCAR_Cl6Ti2_1_z975,0.896,-0.896,0.0,True
POSCAR_Cl6Zr2_1,0.693,-0.693,0.0,True
POSCAR_Cl6Zr2_1_st025,0.724,-0.724,0.0,True
POSCAR_Cl6Zr2_1_st050,0.748,-0.748,0.0,True
POSCAR_Cl6Zr2_1_st975,0.115,-0.112,0.003,True
POSCAR_Cl6Zr2_1_x025,0.701,-0.701,0.002,True
POSCAR_Cl6Zr2_1_x050,0.707,-0.707,0.004,True
POSCAR_Cl6Zr2_1_x950,0.671,-0.672,-0.004,True
POSCAR_Cl6Zr2_1_x975,0.683,-0.683,-0.002,True
POSCAR_Cl6Zr2_1_y025,0.701,-0.701,-0.002,True
POSCAR_Cl6Zr2_1_y050,0.707,-0.707,-0.004,True
POSCAR_Cl6Zr2_1_y950,0.672,-0.672,0.004,True
POSCAR_Cl6Zr2_1_y975,0.683,-0.683,0.002,True
POSCAR_Cl6Zr2_1_z025,0.709,-0.709,0.0,True
POSCAR_Cl6Zr2_1_z050,0.723,-0.723,-0.0,True
POSCAR_Cl6Zr2_1_z950,0.054,-0.056,-0.003,True
POSCAR_Cl6Zr2_1_z975,-0.03,0.03,0.0,True
POSCAR_Co2F4_1,2.77,-2.77,0.0,True
POSCAR_Co2F4_1_st025,2.776,-2.776,-0.0,True
POSCAR_Co2F4_1_st050,2.786,-2.786,-0.0,True
POSCAR_Co2F4_1_st950,2.736,-2.736,0.0,True
POSCAR_Co2F4_1_st975,2.755,-2.755,0.0,True
